Заголовок;Ссылка на изображение;car link;Марка;Год;Описание;Кол-во людей;Кол-во дверей;Коробка передач;1-2 дня;3-6 дней;7-14 дней;15-30 дней;1-2 месяца;Залог;rt1;rt2;rt3;rt4;rt5;rt6;limit;orun;ch1;ch2;ch3;ch4;ch5;ch6;ch11;ch12;ch13;ch14;ch15;nolimit;fullprotect;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;class
Kia Rio IV 1.6  Style rest.;https://www.avtomaxi.ru/upload/resize_cache/iblock/710/205_134_1/7103f63f5141ca79eb98d3bf32a22236.jpg;https://www.avtomaxi.ru/park/all/kia-rio-iv-1-6-style-rest/;KIA;2021;Аренда Кио Рио 1.6 рестайлинг 2021 Style в Москве. Четвертое поколение седана от КИА  богатой комплектации Style с литыми дисками и лазерными ходовыми огнями.;5;4;Aвтомат;3600;3420;3240;3060;2880;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с. ;192 км/ч;11.2 с;6.6 л/100 км;Автоматическая;Передний;5;4400 мм;480 л;2021;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/44f/498_374_1/44fb5893cca3d0c3f45b5ab98995d70b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e8c/498_374_1/e8cb7ec6e64d60aff7f58a40b2d04070.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a99/498_374_1/a990ddb36d301fae342873c8b564fb68.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ccc/498_374_1/cccb9f8ac09506ab250d764c320b233f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7fd/498_374_1/7fd6dd609b1fb8319cb3373603800de2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1d6/498_374_1/1d670db1ce214a0fc1d585f4d8483f53.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/937/498_374_1/9379259d2870fe9cf657bcfeb49e80b7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9fa/498_374_1/9fa1daef0bb6b7e533032971a9f646ab.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fac/498_374_1/fac6d623b19babeb56c8e8f445302c29.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b02/498_374_1/b02758db5f6506c6b37fd4ac3923a421.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/dec/498_374_1/dec4b42f2ddd098cd39a8e052719863f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0e6/498_374_1/0e65487a668208079d61622a83857366.JPG;;;;Эконом
Kia Rio X Luxe rest.2021;https://www.avtomaxi.ru/upload/resize_cache/iblock/244/205_134_1/244db14ec5aa0e5636c00c7b79639c96.jpg;https://www.avtomaxi.ru/park/all/kia-rio-x-line-at/;KIA;2021;Аренда Kia Rio X 1.6 рестайлинг, в новом кузове кросс-хэтчбек, в богатой комплектации Люкс, с мощным мотором и коробкой автомат;5;4;Aвтомат;3800;3610;3420;3230;3040;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с. ;182 км/ч;11.6 с;6.8 л/100 км;Автоматическая;Передний;5;4275 мм;390 л;2021;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/ea4/498_374_1/ea4abe4672ed0aa08c53c6adad3e907f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4ae/498_374_1/4ae05812ed4620e509efc70b88831369.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1d4/498_374_1/1d4047daed3c06af1f2f17d7fe8615cb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/efc/498_374_1/efcc4b2bf3dda7f89e088b202348e75a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6e7/498_374_1/6e7afedcd74f38c9397ba9bcf0973cec.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/79c/498_374_1/79c81637fe1ada37bb3385cdffcc9877.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d1e/498_374_1/d1e15825978d526322492696c2b5c611.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d6e/498_374_1/d6e6cd0d3a2de3a98b3c62b207211b8e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/42a/498_374_1/42a145c8a9561e94c21e1eaaa6cc7a42.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/960/498_374_1/96058317cec85791fc2d9fa262452f05.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/01d/498_374_1/01d14a87c0b2dccbf30711792398f0a8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9da/498_374_1/9da15ca9af98e5115fdff560277b70b9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ff8/498_374_1/ff811000de5ce0f647d27a9a1f742454.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fe5/498_374_1/fe5a0a676a8d88942173cbc262ef4621.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/024/498_374_1/024cbcc038855c422b40505ce330e518.JPG;Эконом
Kia Soul AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/f89/205_134_1/f89f9ec67da5c0468f88ed19eb7426ad.jpg;https://www.avtomaxi.ru/park/all/kia-soul-at/;KIA;2019;Kia Soul – переднеприводный городской кроссовер, идеально подходящий для передвижения в плотном городском потоке и в загородной поездке.;5;5;Aвтомат;3800;3610;3420;3230;3040;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;124 л.с. ;177 км/ч;12.5 с;8,2 л/100 км;Автоматическая;Передний;5;4140 мм;354 л;2018;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/149/498_374_1/149937123547053c8e936032800deadc.jpeg;https://www.avtomaxi.ru/upload/resize_cache/iblock/20e/498_374_1/20e4a36ac87327013d1460f26cd09d6b.jpeg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e21/498_374_1/e21ececb81b8db4001486907640d1ee4.jpeg;https://www.avtomaxi.ru/upload/resize_cache/iblock/f1e/498_374_1/f1e281262cad9f37f9b3fa239ee1d517.jpeg;https://www.avtomaxi.ru/upload/resize_cache/iblock/59b/498_374_1/59b3fe5623f79cab77ef51a20c989c2d.jpeg;;;;;;;;;;;Стандарт
Kia Ceed III;https://www.avtomaxi.ru/upload/resize_cache/iblock/c57/205_134_1/c57b4692ba9cc5be1fcba31b98245e25.jpeg;https://www.avtomaxi.ru/park/all/kia-ceed-new/;KIA;2019;Новый Kia Ceed III – стильный хэтч корейской марки;5;5;Aвтомат;3900;3705;3510;3315;3120;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;128 л.с. ;192 км/ч;11.5 с;6.8 л/100 км;Автоматическая;Передний;5;4310 мм;395 л;2019;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/36a/498_374_1/36a7aba2bc780d1ddfbbb6d40104f9f1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a8e/498_374_1/a8e2e5146aeaed375c80cb42779d3a49.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/124/498_374_1/12404df9a18e2594c564bbafc30d5e63.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/166/498_374_1/166cab1c02527806231a82f97f4985b1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7f4/498_374_1/7f4204a0c98a9e343edd62883bad9759.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/26c/498_374_1/26c2bc600ab3b56fb4b1c832b02c99a1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/688/498_374_1/688c01f46d140969c649b719d38f0bd2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b54/498_374_1/b5495d5f6bd82afa9f3a00db82c201f9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/630/498_374_1/63024da43b09a9551f7ae841f3373d19.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ca0/498_374_1/ca0dc4b952c4aab39f67180e755b0dd3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e02/498_374_1/e0217634b86a604e51790472798b26de.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/650/498_374_1/65018cd9058221c89cb548f91292170b.JPG;;;;Стандарт
Skoda Octavia III restyling;https://www.avtomaxi.ru/upload/resize_cache/iblock/6e6/205_134_1/6e65b73de8a1a9a1b433929901074e98.jpeg;https://www.avtomaxi.ru/park/all/skoda-octavia-restyling/;Skoda;2018;Аренда Шкода Октавия рестайлинг 2018г. – оптимальный выбор автомобиля среднего размера по приемлемой цене.;5;4;Aвтомат;3900;3705;3510;3315;3120;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;105 л.с. ;196 км/ч;10.5 с;5 л/100 км;Автоматическая с двумя сцеплениями;Передний;5;4659 мм;568 л;2018;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/885/498_374_1/88509155fbb624479488d1c4c62764d7.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/41c/498_374_1/41c7652cc8266dd453622ab7d09cba0f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/dfe/498_374_1/dfedc84184d8b0c9d4cdcdbd93af3cdf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6cd/498_374_1/6cd0f5e3b7c14412ce44ca50710a9a3c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/206/498_374_1/20630fa39f63f409a018a97f40ff9cea.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/30b/498_374_1/30bb5a225aaccd69d57c3aeef99ed46c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7e3/498_374_1/7e3efd5a127996fd1b7da2a7846569cd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/895/498_374_1/89530f4a470d65220124a73a3193f26b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/885/498_374_1/88518347884067bf725ef0cb5775b7e9.JPG;;;;;;;Стандарт
Hyundai Creta AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/bfb/205_134_1/bfb87469376a908da06d13429164a650.png;https://www.avtomaxi.ru/park/all/hyundai-creta-at/;Hyundai;2019;Новейший кроссовер Hyundai CRETA  - небольшой внедорожник с хорошей проходимостью и стильной внешностью!;5;4;Aвтомат;4100;3895;3690;3485;3280;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;123 л.с.;169 км/ч;12.1 с;7.1 л/100 км;Автоматическая;Передний;5;4270 мм;402 л;2017-19;800;800;https://www.avtomaxi.ru/upload/resize_cache/iblock/c6c/498_374_1/c6c32fe9d6ab70fcfeb141513d677b88.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2e2/498_374_1/2e28bcab2803e31b815053b414a614b1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/56a/498_374_1/56a44db67b21b9d074cb1b1e61ad9aa8.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/49d/498_374_1/49dcfe5ee789d5de5c828da4f867e31d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1ce/498_374_1/1ce3c0506c9568545abbfe5781d32727.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6f6/498_374_1/6f67d00ef209aaac0915269aa521128a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f44/498_374_1/f4482efcfe4be95d324df8bcae07fcae.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/de8/498_374_1/de808b9c2e00126d0c868094dc7f2720.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c45/498_374_1/c45339853f764a562850bfdfe83cde55.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bad/498_374_1/bad9ad5a2af938016c63d5661945e31c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/436/498_374_1/436665bdb80decf74f0e04a8f9eabad8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d9e/498_374_1/d9eaaf273e2e284120c008ee4de13e76.JPG;;;;Внедорожники
Skoda Octavia III rest. 2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/025/205_134_1/02530e8b4ef127ee423d95f2392fa557.jpeg;https://www.avtomaxi.ru/park/all/skoda-octavia-iii-restyl-2020/;Skoda;2020;Шкода Октавия рестайлинг 2020г. – бестселлер среднего класса.;5;4;Aвтомат;4200;3990;3780;3570;3360;12000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;110 л.с. ;196 км/ч;10.5 с;5 л/100 км;Автоматическая с двумя сцеплениями;Передний;5;4670 мм;568 л;2020;800;900;https://www.avtomaxi.ru/upload/resize_cache/iblock/6c7/498_374_1/6c7d1d2cf78690bf1f3af16a30dc9bdc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/38e/498_374_1/38eb5d1be1d0128c095e3baa73aaacc3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/374/498_374_1/374678933ebcad59aa767d42e2ecc6fa.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/373/498_374_1/3732fa9286d546190caca71877d84965.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b01/498_374_1/b0128491ac406ee55aa1261f803add78.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/4a6/498_374_1/4a6bab21d581ce8dc673d2905cdf7f36.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/20a/498_374_1/20a5045302778a794189751a3b9afdc5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/91d/498_374_1/91dae59fae455097951f40af192b6b95.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/95c/498_374_1/95ca054d3118a628a9d3cc807ccf304d.JPG;;;;;;;Стандарт
Renault Arkana 2021;https://www.avtomaxi.ru/upload/resize_cache/iblock/b97/205_134_1/b97b5fdf12faa696fde06ffe5e741872.jpg;https://www.avtomaxi.ru/park/all/arenda-renault-arkana/;RENAULT;2021;Новый Рено Аркана 2021г– стильный кроссовер, имеющий вид купе. Хорош и в городе и на просёлке.;5;5;Aвтомат;4700;4465;4230;3995;3760;15000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый, турбо;150 л.с.;191 км/ч;10.2 с;8.7 л/100 км;Автоматическая;Передний;5;4545 мм;508 л;2021;900;1000;https://www.avtomaxi.ru/upload/resize_cache/iblock/f13/498_374_1/f132702c84a82d1c5fe62440aec27725.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/110/498_374_1/11030e09ac0b689f90e6c9d86a7075d7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4da/498_374_1/4dade38b9e957715155c7f7e0e70499e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/31c/498_374_1/31c688682e68ccfc62faf5a7688ae082.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b95/498_374_1/b95dadd5ac9703f41266adb3697577cd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a5d/498_374_1/a5d4fb3a46644b27c5c8b7c5f416f2f1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f78/498_374_1/f78de0f6d2513a3dab44ab2f7adc6ada.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/32b/498_374_1/32bd267178da88706df585b2f5853915.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bc9/498_374_1/bc921b7b54bbe7777e81b1263d23a166.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/494/498_374_1/49412c65de00d2c233adbb8b4bf4f734.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/35f/498_374_1/35f0ca8633e9c79e8a3b483b6b6cd77e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3ef/498_374_1/3efbb0752e6dbcb8cb8bfa60a23a861e.JPG;;;;Внедорожники
Renault Duster II 4х4 Style;https://www.avtomaxi.ru/upload/resize_cache/iblock/d26/205_134_1/d26e5275b5860a831473546d41ee785e.jpg;https://www.avtomaxi.ru/park/all/renault-duster-2-0/;RENAULT;2021;Новый Рено Дастер II Style 2021 г.в.  – пятидверный компактный кроссовер с полным приводом и автоматом, созданный для Российских дорог. Его главные козыри – полный привод, высокий клиренс, небольшие габариты, прекрасно настроенное шасси, вместительность и высокий уровень комфорта.;5;5;Aвтомат;4800;4560;4320;4080;3840;15000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;150 л.с.;174 км/ч;10.4 с;8.7 л/100 км;Автоматическая;Полный;5;4341 мм;428 л;2021;900;1000;https://www.avtomaxi.ru/upload/resize_cache/iblock/e4a/498_374_1/e4a94e4ff41e60fb642d199214f73a13.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5f6/498_374_1/5f6ed41bfc75b48f6d6a2791105eccfe.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ab9/498_374_1/ab92c893b5ae78580a4b5415d427573c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/182/498_374_1/182ef79ef080bae4cd301869eff56140.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2a6/498_374_1/2a6602013a3c1b6969b07a4df25d2fd2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f0e/498_374_1/f0ece19d6dd861f7b9b68d492c3bb6bf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/152/498_374_1/152d5fd187821806ca165f4db279f9d9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/72b/498_374_1/72b12ca8aeeaf1ef717394bbc6e63174.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/86a/498_374_1/86a88dc87f228790540a880b3f8ff7bd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fae/498_374_1/fae364e856e4235065c02045fedd6e7b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f72/498_374_1/f72cfe793fd2eac5a10ded7acc29c245.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/646/498_374_1/646c1c763eb842faf130f26176d0c16e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/05b/498_374_1/05b504fa00836eaa6e73d4ac0e394710.JPG;;;Внедорожники
Kia Seltos 2.0 CVT 4WD;https://www.avtomaxi.ru/upload/resize_cache/iblock/910/205_134_1/91047997230dc56283b906e9b1115822.jpeg;https://www.avtomaxi.ru/park/all/kia-seltos-arenda/;KIA;2020;Новейший KIA SELTOS 2.0 CVT 4WD   – полноприводный городской кроссовер;5;5;Aвтомат;5200;4940;4680;4420;4160;15000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 10 P / км;Бензиновый;149 л.с. ;190 км/ч;10.4 с;7,3 л/100 км;Автоматическая;Полный;5;4370 мм;433 л;2020;900;1000;https://www.avtomaxi.ru/upload/resize_cache/iblock/388/498_374_1/3882288923c4156618ce61f80355ba6d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/84c/498_374_1/84c525d7c7306d120d2d82a0edb181ae.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8e1/498_374_1/8e10dfed4d4728b2da0a1d1b59ce4add.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1bb/498_374_1/1bb31861b6cf00093d7b70b5aaaaca4f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/860/498_374_1/860986123d16e138fa722a81a6346f09.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8c4/498_374_1/8c4b99defe92520d1a346535a28c034d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/623/498_374_1/623b9a0eddeb333641e74863c55aee8e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/57f/498_374_1/57fda2f720bc939f6444a648ae87f1d6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d8a/498_374_1/d8a9aad1a64655f068c49c0d49fa77bc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b2a/498_374_1/b2adf9e2097ecc53514dd5edec5e0064.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/497/498_374_1/497371e4d706662c6609694ff4af883c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f9f/498_374_1/f9fc8b382ab7eca6757bdc460fd4d031.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/52c/498_374_1/52c2318d4520f9ffcb48971c78f58b3b.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/7b0/498_374_1/7b03e44b60c3d401116db1707794a0ec.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/083/498_374_1/083c9a5981afd1cddc15d465986452a6.jpg;Внедорожники
BMW 520d X-Drive G30 rest.;https://www.avtomaxi.ru/upload/resize_cache/iblock/e9b/205_134_1/e9b40233ac68512e7596e877a77b7b40.png;https://www.avtomaxi.ru/park/all/bmw-520d-x-drive-g30-restyling/;BMW;2021;BMW 520d X-Drive G30 restyling – новейший полноприводный люксовый седан 2020г.;5;5;Aвтомат;10788;10249;9709;9170;8630;30000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;190 л.с. ;232 км/ч;7.6 сек;4.9 л/100 км ;Автоматическая ;Полный;5;4963 мм;530 л;2020;2000;2200;https://www.avtomaxi.ru/upload/resize_cache/iblock/9a5/498_374_1/9a5c3e3014aa6cef3e3b0552ae16e61d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/204/498_374_1/204644f25930c245c8cb837892396296.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/71d/498_374_1/71d6e271503ec6d2a741e0b714997eb6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d8/498_374_1/0d83a77394cb3b71443f1db166e4ee1a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/71e/498_374_1/71ebeb0fca47b385e60c223761e24fe7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/598/498_374_1/598f9927b3139201afccfb60c1f22c58.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/32f/498_374_1/32f9912c0990c74ab4228e501f86d1d6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8bd/498_374_1/8bd3353f296f9220f34b4467fee75307.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/de5/498_374_1/de5804bf072e00ec321ac1144e56f26a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/129/498_374_1/129ce486a1727f6232b1ad1a685a9897.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6d7/498_374_1/6d7faa842ca375a074d1f56b856647fb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e4f/498_374_1/e4fb40a0f0272b62d2bd17f41fabcc26.JPG;;;;Бизнес
